"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"50",50,"ARI",2022-09-18,39,"Sun",2,2,"@","LVR","W 29-23 (OT)",25,39,64.1,244,2,1,8,0,98.7
"51",51,"DAL",2022-09-18,36,"Sun",2,2,NA,"CIN","W 20-17",24,36,66.7,165,1,6,34,0,86
"52",52,"DEN",2022-09-18,38,"Sun",2,2,NA,"HOU","W 16-9",19,38,50,154,0,3,23,0,60.6
"53",53,"WAS",2022-09-18,34,"Sun",2,2,"@","DET","L 27-36",20,34,58.8,234,4,3,22,0,119
"54",54,"LAR",2022-09-18,26,"Sun",2,2,NA,"ATL","W 31-27",17,26,65.4,171,2,3,25,2,77.6
"55",55,"HOU",2022-09-18,31,"Sun",2,2,"@","DEN","L 9-16",14,31,45.2,201,1,3,18,1,64
"56",56,"DET",2022-09-18,46,"Sun",2,2,NA,"WAS","W 36-27",30,46,65.2,308,3,5,29,1,97
"57",57,"NOR",2022-09-18,34,"Sun",2,2,NA,"TAM","L 10-20",18,34,52.9,188,1,1,2,0,79
"58",58,"MIA",2022-09-18,29,"Sun",2,2,"@","BAL","W 42-38",21,29,72.4,318,3,0,0,0,142.6
"59",59,"GNB",2022-09-18,11,"Sun",2,2,NA,"CHI","W 27-10",7,11,63.6,48,0,3,22,1,35.4
"60",60,"JAX",2022-09-18,30,"Sun",2,2,NA,"IND","W 24-0",16,30,53.3,164,0,5,31,3,29.7
"61",61,"BUF",2022-09-19,24,"Mon",2,2,NA,"TEN","W 41-7",12,24,50,107,0,2,16,2,27.6
"62",62,"MIN",2022-09-19,31,"Mon",2,2,"@","PHI","L 7-24",26,31,83.9,323,1,3,10,1,107.4
"63",63,"TEN",2022-09-19,40,"Mon",2,2,"@","BUF","L 7-41",26,40,65,313,4,1,4,0,122.2
"64",64,"PHI",2022-09-19,46,"Mon",2,2,NA,"MIN","W 24-7",27,46,58.7,202,1,2,19,3,49.4
"65",65,"CLE",2022-09-22,32,"Thu",3,3,NA,"PIT","W 29-17",20,32,62.5,204,0,1,3,0,80.7
"66",66,"PIT",2022-09-22,31,"Thu",3,3,"@","CLE","L 17-29",21,31,67.7,205,2,2,15,0,107.6
"67",67,"ATL",2022-09-25,44,"Sun",3,3,"@","SEA","W 27-23",32,44,72.7,308,2,2,17,1,97.5
"68",68,"LVR",2022-09-25,27,"Sun",3,3,"@","TEN","L 22-24",19,27,70.4,252,1,1,12,1,96.5
"69",69,"MIA",2022-09-25,63,"Sun",3,3,NA,"BUF","W 21-19",42,63,66.7,382,2,4,18,0,93.5
"70",70,"BUF",2022-09-25,20,"Sun",3,3,"@","MIA","L 19-21",13,20,65,171,1,2,15,0,108.5
"71",71,"CAR",2022-09-25,41,"Sun",3,3,NA,"NOR","W 22-14",25,41,61,342,1,1,11,2,75.5
"72",72,"CHI",2022-09-25,32,"Sun",3,3,NA,"HOU","W 23-20",20,32,62.5,237,1,1,8,2,69.4
"73",73,"LAC",2022-09-25,39,"Sun",3,3,NA,"JAX","L 10-38",28,39,71.8,262,3,0,0,0,115.5
"74",74,"MIN",2022-09-25,41,"Sun",3,3,NA,"DET","W 28-24",25,41,61,277,1,0,0,1,79
"75",75,"CIN",2022-09-25,52,"Sun",3,3,"@","NYJ","W 27-12",28,52,53.8,252,0,4,33,2,51.1
"76",76,"BAL",2022-09-25,32,"Sun",3,3,"@","NWE","W 37-26",22,32,68.8,302,0,3,19,3,59.6
"77",77,"WAS",2022-09-25,35,"Sun",3,3,NA,"PHI","L 8-24",22,35,62.9,328,3,3,12,0,122.1
"78",78,"PHI",2022-09-25,43,"Sun",3,3,"@","WAS","W 24-8",25,43,58.1,153,0,9,58,0,65.4
"79",79,"NOR",2022-09-25,25,"Sun",3,3,"@","CAR","L 14-22",12,25,48,148,1,3,22,0,80.1
"80",80,"KAN",2022-09-25,37,"Sun",3,3,"@","IND","L 17-20",27,37,73,177,2,5,45,0,100.8
"81",81,"JAX",2022-09-25,45,"Sun",3,3,"@","LAC","W 38-10",25,45,55.6,286,1,1,11,1,73
"82",82,"IND",2022-09-25,36,"Sun",3,3,NA,"KAN","W 20-17",20,36,55.6,257,1,1,5,1,75.8
"83",83,"LAR",2022-09-25,58,"Sun",3,3,"@","ARI","W 20-12",37,58,63.8,295,0,2,19,0,76.4
"84",84,"HOU",2022-09-25,17,"Sun",3,3,"@","CHI","L 20-23",8,17,47.1,82,0,5,24,2,21.8
