"","Rk","Team","Date","Spread...4","Day","G#","Week","...8","Opp","Result","Spread...11","vs. Line","Over/Under","OU Result"
"249",249,"SEA",2023-01-01,1.5,"Sun",16,17,NA,"NYJ","W 23-6",1.5,"covered",42.5,"under"
"250",250,"MIN",2023-01-01,3,"Sun",16,17,"@","GNB","L 17-41",3,"did not cover",47.5,"over"
"251",251,"PIT",2023-01-01,2.5,"Sun",16,17,"@","BAL","W 16-13",2.5,"covered",35,"under"
"252",252,"LVR",2023-01-01,9.5,"Sun",16,17,NA,"SFO","L 34-37 (OT)",9.5,"covered",42.5,"over"
"253",253,"NOR",2023-01-01,5.5,"Sun",16,17,"@","PHI","W 20-10",5.5,"covered",41.5,"under"
"254",254,"CHI",2023-01-01,6,"Sun",16,17,"@","DET","L 10-41",6,"did not cover",52.5,"under"
"255",255,"IND",2023-01-01,5.5,"Sun",16,17,"@","NYG","L 10-38",5.5,"did not cover",39,"over"
"256",256,"TEN",2023-01-07,6.5,"Sat",17,18,"@","JAX","L 16-20",6.5,"covered",40,"under"
"257",257,"LVR",2023-01-07,9,"Sat",17,18,NA,"KAN","L 13-31",9,"did not cover",52.5,"under"
"258",258,"ARI",2023-01-08,14,"Sun",17,18,"@","SFO","L 13-38",14,"did not cover",39.5,"over"
"259",259,"HOU",2023-01-08,2.5,"Sun",17,18,"@","IND","W 32-31",2.5,"covered",37.5,"over"
"260",260,"CAR",2023-01-08,3.5,"Sun",17,18,"@","NOR","W 10-7",3.5,"covered",41.5,"under"
"261",261,"CLE",2023-01-08,2.5,"Sun",17,18,"@","PIT","L 14-28",2.5,"did not cover",40,"over"
"262",262,"LAR",2023-01-08,6,"Sun",17,18,"@","SEA","L 16-19 (OT)",6,"covered",41.5,"under"
"263",263,"TAM",2023-01-08,4,"Sun",17,18,"@","ATL","L 17-30",4,"did not cover",40.5,"over"
"264",264,"DET",2023-01-08,5,"Sun",17,18,"@","GNB","W 20-16",5,"covered",49,"under"
"265",265,"BAL",2023-01-08,9,"Sun",17,18,"@","CIN","L 16-27",9,"did not cover",39.5,"over"
"266",266,"LAC",2023-01-08,3,"Sun",17,18,"@","DEN","L 28-31",3,"push",39.5,"over"
"267",267,"NWE",2023-01-08,7.5,"Sun",17,18,"@","BUF","L 23-35",7.5,"did not cover",43.5,"over"
"268",268,"CHI",2023-01-08,7,"Sun",17,18,NA,"MIN","L 13-29",7,"did not cover",42.5,"under"
"269",269,"WAS",2023-01-08,7,"Sun",17,18,NA,"DAL","W 26-6",7,"covered",40,"under"
"270",270,"NYG",2023-01-08,16,"Sun",17,18,"@","PHI","L 16-22",16,"covered",42,"under"
"271",271,"NYJ",2023-01-08,3.5,"Sun",17,18,"@","MIA","L 6-11",3.5,"did not cover",37,"under"
