"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Inc","Cmp%","Yds...15","TD","Int","TD%","Int%","Rate","Sk","Yds...22","Sk%","Y/A","NY/A","AY/A","ANY/A","Y/C"
"329",329,"BUF",2022-11-24,42,"Thu",11,12,"@","DET","W 28-25",24,42,18,57.1,237,2,1,4.8,2.4,80.8,3,16,6.67,5.6,5.27,5.52,5.16,9.9
"330",330,"DAL",2022-11-24,30,"Thu",11,12,NA,"NYG","W 28-20",21,30,9,70,261,2,2,6.7,6.7,91.1,0,0,0,8.7,8.7,7.03,7.03,12.4
"331",331,"DET",2022-11-24,37,"Thu",11,12,NA,"BUF","L 25-28",23,37,14,62.2,230,2,0,5.4,0,98.9,2,10,5.13,6.2,5.9,7.3,6.92,10
"332",332,"MIN",2022-11-24,38,"Thu",11,12,NA,"NWE","W 33-26",31,38,7,81.6,301,3,1,7.9,2.6,116,1,9,2.56,7.9,7.72,8.32,8.1,9.7
"333",333,"NWE",2022-11-24,39,"Thu",11,12,"@","MIN","L 26-33",28,39,11,71.8,364,2,0,5.1,0,119.8,3,18,7.14,9.3,8.67,10.36,9.62,13
"334",334,"NYG",2022-11-24,35,"Thu",11,12,"@","DAL","L 20-28",21,35,14,60,210,1,0,2.9,0,88.7,3,18,7.89,6,5.53,6.57,6.05,10
"335",335,"ATL",2022-11-27,25,"Sun",12,12,"@","WAS","L 13-19",15,25,10,60,165,1,1,4,4,77.7,1,9,3.85,6.6,6.35,5.6,5.38,11
"336",336,"CAR",2022-11-27,19,"Sun",12,12,NA,"DEN","W 23-10",11,19,8,57.9,164,1,0,5.3,0,103.8,0,0,0,8.6,8.63,9.68,9.68,14.9
"337",337,"CHI",2022-11-27,25,"Sun",12,12,"@","NYJ","L 10-31",14,25,11,56,165,1,1,4,4,75.2,2,14,7.41,6.6,6.11,5.6,5.19,11.8
"338",338,"CIN",2022-11-27,37,"Sun",11,12,"@","TEN","W 20-16",22,37,15,59.5,266,1,0,2.7,0,91,1,4,2.63,7.2,7,7.73,7.53,12.1
"339",339,"CLE",2022-11-27,37,"Sun",11,12,NA,"TAM","W 23-17 (OT)",23,37,14,62.2,178,1,1,2.7,2.7,75.3,4,32,9.76,4.8,4.34,4.14,3.73,7.7
"340",340,"ARI",2022-11-27,29,"Sun",12,12,NA,"LAC","L 24-25",18,29,11,62.1,185,2,1,6.9,3.4,89.9,1,6,3.33,6.4,6.17,6.21,6,10.3
"341",341,"DEN",2022-11-27,35,"Sun",11,12,"@","CAR","L 10-23",19,35,16,54.3,125,1,0,2.9,0,73.7,3,17,7.89,3.6,3.29,4.14,3.82,6.6
"342",342,"GNB",2022-11-27,25,"Sun",12,12,"@","PHI","L 33-40",17,25,8,68,236,3,2,12,8,107.2,3,17,10.71,9.4,8.43,8.24,7.36,13.9
"343",343,"HOU",2022-11-27,39,"Sun",11,12,"@","MIA","L 15-30",26,39,13,66.7,174,1,2,2.6,5.1,67.8,5,41,11.36,4.5,3.95,2.67,2.36,6.7
"344",344,"JAX",2022-11-27,37,"Sun",11,12,NA,"BAL","W 28-27",29,37,8,78.4,294,3,0,8.1,0,129.8,4,27,9.76,7.9,7.17,9.57,8.63,10.1
"345",345,"KAN",2022-11-27,42,"Sun",11,12,NA,"LAR","W 26-10",27,42,15,64.3,320,1,1,2.4,2.4,85.4,0,0,0,7.6,7.62,7.02,7.02,11.9
"346",346,"MIA",2022-11-27,41,"Sun",11,12,NA,"HOU","W 30-15",23,41,18,56.1,273,1,0,2.4,0,88,5,32,10.87,6.7,5.93,7.15,6.37,11.9
"347",347,"NOR",2022-11-27,30,"Sun",12,12,"@","SFO","L 0-13",18,30,12,60,197,0,0,0,0,80.4,1,7,3.23,6.6,6.35,6.57,6.35,10.9
"348",348,"NYJ",2022-11-27,29,"Sun",11,12,NA,"CHI","W 31-10",22,29,7,75.9,308,3,0,10.3,0,145,1,7,3.33,10.6,10.27,12.69,12.27,14
"349",349,"TEN",2022-11-27,34,"Sun",11,12,NA,"CIN","L 16-20",22,34,12,64.7,281,0,0,0,0,91.7,1,10,2.86,8.3,8.03,8.26,8.03,12.8
"350",350,"PHI",2022-11-27,28,"Sun",11,12,NA,"GNB","W 40-33",16,28,12,57.1,137,2,0,7.1,0,96.3,2,16,6.67,4.9,4.57,6.32,5.9,8.6
"351",351,"LVR",2022-11-27,36,"Sun",11,12,"@","SEA","W 40-34 (OT)",25,36,11,69.4,293,3,2,8.3,5.6,98.7,1,2,2.7,8.1,7.92,7.31,7.11,11.7
"352",352,"LAR",2022-11-27,24,"Sun",11,12,"@","KAN","L 10-26",14,24,10,58.3,82,1,2,4.2,8.3,48.3,3,24,11.11,3.4,3.04,0.5,0.44,5.9
"353",353,"BAL",2022-11-27,32,"Sun",11,12,"@","JAX","L 27-28",16,32,16,50,253,1,0,3.1,0,87.2,1,1,3.03,7.9,7.67,8.53,8.27,15.8
"354",354,"LAC",2022-11-27,47,"Sun",11,12,"@","ARI","W 25-24",35,47,12,74.5,246,3,0,6.4,0,109.7,4,28,7.84,5.2,4.82,6.51,6,7
"355",355,"SEA",2022-11-27,37,"Sun",11,12,NA,"LVR","L 34-40 (OT)",27,37,10,73,307,2,1,5.4,2.7,106.6,3,21,7.5,8.3,7.68,8.16,7.55,11.4
"356",356,"SFO",2022-11-27,37,"Sun",11,12,NA,"NOR","W 13-0",26,37,11,70.3,221,1,0,2.7,0,94.7,1,1,2.63,6,5.82,6.51,6.34,8.5
"357",357,"TAM",2022-11-27,43,"Sun",11,12,"@","CLE","L 17-23 (OT)",29,43,14,67.4,229,2,0,4.7,0,97.6,3,17,6.52,5.3,4.98,6.26,5.85,7.9
"358",358,"WAS",2022-11-27,23,"Sun",12,12,NA,"ATL","W 19-13",14,23,9,60.9,138,2,1,8.7,4.3,88.7,0,0,0,6,6,5.78,5.78,9.9
"359",359,"IND",2022-11-28,34,"Mon",12,12,NA,"PIT","L 17-24",22,34,12,64.7,180,1,1,2.9,2.9,77.9,3,19,8.11,5.3,4.86,4.56,4.19,8.2
"360",360,"PIT",2022-11-28,28,"Mon",11,12,"@","IND","W 24-17",20,28,8,71.4,151,0,0,0,0,87.5,3,23,9.68,5.4,4.87,5.39,4.87,7.6
"361",361,"BUF",2022-12-01,33,"Thu",12,13,"@","NWE","W 24-10",22,33,11,66.7,223,2,0,6.1,0,106,2,0,5.71,6.8,6.37,7.97,7.51,10.1
"362",362,"NWE",2022-12-01,36,"Thu",12,13,NA,"BUF","L 10-24",22,36,14,61.1,182,1,0,2.8,0,84.8,1,13,2.7,5.1,4.92,5.61,5.46,8.3
"363",363,"ATL",2022-12-04,24,"Sun",13,13,NA,"PIT","L 16-19",13,24,11,54.2,160,1,1,4.2,4.2,72.7,1,7,4,6.7,6.4,5.63,5.4,12.3
